Communities_IDComm	CommunityName	LatDecDeg	LongDecDeg	Country	AllSpp
520	Hacienda Mozambique	4.0833	-72.9833	Colombia	7
521	Had. Carimagua	4.5666667	-71.3333333	Colombia	4
522	Instituto Agricola Camacho Angarita	3.711351	-75.525634	Colombia	7
523	Jeguadas -  Pisones	5.39318	-75.9988	Colombia	20
525	La Leticia	-4.215731	-69.93521	Colombia	9
526	Mambita	4.768	-73.222	Colombia	10
527	Mistrato	5.309261111	-75.88506667	Colombia	17
528	Norcasia	5.563577778	-74.87999722	Colombia	11
529	Parque Natural Chicaque	4.613752778	-74.30460833	Colombia	9
530	Reserva Forestal Navarco	4.6166667	-75.5833333	Colombia	9
532	Monilla arenas	-4.216667	-69.933313	Colombia	8
533	Hitomo II	-4.142422	-69.932101	Colombia	8
534	Reserva Rio Blanco, Parque Nacional Chingaza	4.753126	-73.866354	Colombia	13
535	Restrepo	4.26513	-73.557762	Colombia	14
536	Bocas del Pira	-0.441263	-70.257216	Colombia	9
537	Rio Inídira	3.649198	-67.933718	Colombia	10
538	San Jose de Suaita	6.159444444	-73.44277778	Colombia	13
539	200	6.758888889	-73.73611111	Colombia	7
540	500	6.520611111	-73.61311111	Colombia	11
542	750	6.527833333	-73.59580556	Colombia	11
545	1600	6.621	-73.50036111	Colombia	10
550	2000	6.629194444	-73.31477778	Colombia	9
552	3000	6.633388889	-73.39441667	Colombia	6
553	Finca Los Andes	7.272611111	-73.09602778	Colombia	9
554	Vereda Retiro Grande, Finca El Brasil	7.142555556	-73.05427778	Colombia	8
555	Vereda Bucaré, Finca La Pajita	7.294416667	-72.93172222	Colombia	10
556	Finca Buenos Aires	7.344611111	-73.08419444	Colombia	13
557	Finca Cañaverales, Corregimiento de Portugal	7.155583333	-73.27327778	Colombia	11
574	El aburrido	7.24025	-73.09761111	Colombia	8
575	El puente	7.159527778	-73.28366667	Colombia	9
576	El rasgon	7.038888889	-72.98888889	Colombia	13
578	Juan Parra	7.072361111	-72.93797222	Colombia	9
579	La Honda	7.252861111	-73.2145	Colombia	7
580	La planada	7.013638889	-72.96919444	Colombia	7
581	Pangote	7.408972222	-72.94711111	Colombia	7
582	La Pedrera	-0.59937	-72.398646	Colombia	12
583	El Tuparro	5.2525	-67.8661	Colombia	8
584	Los angelitos	7.0625	-70.7981	Colombia	4
585	Tinije	4.892777778	-72.41833333	Colombia	5
586	Pubenza	2.502777778	-76.53222222	Colombia	14
587	Quemanda	6.435972222	-76.08945139	Colombia	13
589	Santa Barbara	6.424263889	-76.08488657	Colombia	11
616	El Quince	6.415470044	-76.07903322	Colombia	14
618	Jardin	4.157527778	-75.75752778	Colombia	24
619	Mirador	4.135305556	-75.73281481	Colombia	15
620	Municipio	4.2115	-75.77816667	Colombia	18
621	Betuca	5.765061	-75.966169	Colombia	16
622	Monserrat	5.598278	-75.856336	Colombia	23
623	Cultivares	5.81378	-75.79856	Colombia	18
624	Las Cinfuentes			Colombia	7
625	Mesenia	5.50472	-75.89117	Colombia	21
626	El Oasis			Colombia	15
627	El Catillo	6.98266	-75.112032	Colombia	16
628	Loma Patoco	6.056919192	-74.26430682	Colombia	21
629	El Socio	6.037222222	-74.26133333	Colombia	17
630	Valiente	6.054444444	-74.24683333	Colombia	11
633	El Maiz	1.340144444	-78.07311389	Colombia	16
634	El Mirador	1.334319444	-78.06595	Colombia	14
635	El Quinde	1.359222222	-78.08480556	Colombia	10
636	Penelope	1.355713889	-78.07561111	Colombia	13
637	Montesion	11.28392245	-74.11072222	Colombia	11
638	Girocasaca	11.21575417	-74.09531806	Colombia	15
639	Minca	11.14117245	-74.12647569	Colombia	22
640	La Victoria	11.11993287	-74.08864931	Colombia	10
641	San Lorenzo	11.10698619	-74.06937508	Colombia	18
642	Falan			Colombia	14
643	La Cascada			Colombia	35
644	Roncesvalles	4.04701	-75.593844	Colombia	22
646	Primavera Alta	6.783333333	-73.4	Colombia	11
648	La Florida, Hacienda	5.60147	-75.462632	Colombia	5
649	Bosque Los Alcazares, El arenillo	5.071837	-75.505213	Colombia	9
650	Bosque de Florencia	5.5833	-74.9167	Colombia	21
651	Cerro de Guadalupe	5.2664	-75.26675	Colombia	7
653	En Medio De Rio, finca Villa Belmira	5.3356278	-75.4823611	Colombia	8
654	Jardín Botánico, Universidad de Caldas	5.054595	-75.495678	Colombia	10
655	La Victoria	5.421248	-74.9166	Colombia	8
656	Marulanda	5.2833	-75.2667	Colombia	5
657	Rio Manso, Vereda San Roque	5.6667	-74.7833	Colombia	8
659	Base Militar Tolemaida	4.250667	-74.662997	Colombia	6
660	Camino a San Juanito. Monasterio Monterredondo	4.4833	-73.9333	Colombia	9
661	Laguna De Pedro Palo	4.675864	-74.3931	Colombia	11
662	Centro Recreacional CAFAM	5.25	-75.1667	Colombia	4
663	Reserva Natural Privada - Semillas de Agua	4.243055556	-75.56194444	Colombia	10
664	Barbona	4.3	-75.006667	Colombia	5
665	Doima	4.426	-74.966	Colombia	6
666	Laguna de Ventaquemada	3.835037	-75.289676	Colombia	4
667	Salado	4.450556	-75.145	Colombia	5
668	Rio Coello	4.483333	-75.25	Colombia	8
669	Toche	4.55	-75.416667	Colombia	25
670	Dantas	4.3	-75.433333	Colombia	8
671	Tres Puertas	5.088	-75.625	Colombia	6
672	Cenicafe Station	4.997	-75.602	Colombia	14
673	Ecological park Los Alcázares	5.077	-75.48	Colombia	11
674	ecological park Los Yarumos	5.077	-75.5	Colombia	3
676	Gabriel Arango Restrepo Foundation	5.043	-75.444	Colombia	5
677	El Zancudo	5.059	-75.433	Colombia	11
678	Rio Blanco outlet	5.093	-75.42	Colombia	7
679	Kilometro 41	5.126	-75.67	Colombia	4
680	Páramo de Letras	5.037	-75.329	Colombia	5
682	Reserva El Caduceo	3.665416667	-73.65802778	Colombia	5
684	Reserva Natural Palmarito	4.825483333	-71.66335	Colombia	4
685	Reserva Natural Bojonawi	6.097997222	-67.48321667	Colombia	10
686	Arroyo Julian	11.21913333	-73.31623333	Colombia	7
687	Chocho	11.271191	-73.325955	Colombia	3
688	Laguna Buena Vista	11.55817	-72.886321	Colombia	2
689	Laguna Grande	11.38333333	-73.15	Colombia	2
690	Laguna La Pedregosa	11.26805	-73.20681667	Colombia	4
691	Laguna Navio Quebrado	11.38793333	-73.10083333	Colombia	3
693	Sector El Manantial	10.73875	-72.84025	Colombia	3
694	Parque Los Nevados	4.983333333	-75.31666667	Colombia	7
696	Reserva hidrografica Rio Blanco	5.066666667	-75.43333333	Colombia	11
697	Cerro Montezuma	5.016	-76.191	Colombia	9
698	Reserva Jardin Encantado	4.966666667	-74.28333333	Colombia	17
699	Reserva Bioandina	4.856154	-73.852763	Colombia	6
700	Reserva Rogitama	5.795305556	-73.45672222	Colombia	9
701	Reserva Natural Cañon de Rio Claro	1.122416667	-70.09347222	Colombia	4
702	Reserva Natural Los Besotes	10.561431	-73.284943	Colombia	13
703	Humedal la Conejera	4.761674	-74.105015	Colombia	3
704	Reserva Macanal	4.724939	-74.3628	Colombia	14
705	Quebrada La Vieja	4.622033	-74.054258	Colombia	12
707	Reserva Natural Las Unamas	3.570833333	-73.45777778	Colombia	3
708	Reserva Natural La Esperanza	5.717361111	-71.23716667	Colombia	5
709	Hato La Aurora	6.033027778	-71.37641667	Colombia	3
710	Reserva Natural Nimajay	6.971944444	-67.66983333	Colombia	3
712	Mitu Cachivera	1.228388889	-70.238	Colombia	4
713	Ceima Cachivera	1.222694444	-70.16086111	Colombia	2
714	Urania	1.270805556	-70.19266667	Colombia	3
715	Juntas y Combeima	4.566666667	-75.31666667	Colombia	14
717	Galapagos	4.816666667	-76.16666667	Colombia	14
718	Sumapaz	4.316666667	-74.2	Colombia	4
719	Onzaga Peak	6.333333333	-72.73333333	Colombia	7
721	Virgen del Agua	8.219809	-73.391596	Colombia	5
722	Pueblo Nuevo	8.235233	-73.388333	Colombia	7
723	Playa Guio	2.61861	-72.68944	Colombia	4
724	Carrizal	5.683333333	-73.46166667	Colombia	6
725	Chorrera 1	5.683333333	-73.47861111	Colombia	5
726	La Colorada	5.725	-73.45277778	Colombia	6
727	Morronegro	5.633333333	-73.48333333	Colombia	5
